Song,Difficulty,Constant,Score,Rating
Fracture Ray,FTR,11.1,9700082,11.76694
Sheriruth,FTR,10.6,9848932,11.72233
Cyaegha,FTR,10.8,9770908,11.703026666666668
Grievous Lady,FTR,11.2,9642563,11.67521
ouroboros -twin stroke of the end-,FTR,10.6,9800274,11.600685
GLORY：ROAD,FTR,10.5,9815367,11.5384175
αterlβus,FTR,10.5,9811535,11.5288375
γuarδina,FTR,10.5,9808991,11.5224775
Scarlet Lance,FTR,10.3,9872626,11.481565000000002
Iconoclast,FTR,9.4,10000741,11.4
AI[UE]OON,FTR,9.4,10000911,11.4
Ringed Genesis,FTR,10.7,9699902,11.36634
Singularity,FTR,10.4,9788216,11.36072
Nirv lucE,FTR,10.3,9822244,11.35561
Ikazuchi,FTR,10.4,9785782,11.352606666666667
Heavensdoor,FTR,10,9932826,11.332065
cyanine,FTR,10.5,9749042,11.33014
Axium Crisis,FTR,10.6,9712974,11.309913333333332
Lost Civilization,FTR,9.5,9980598,11.30598
Mirzam,FTR,9.9,9935934,11.239835000000001
Vindication,FTR,9.6,9963777,11.23777
conflict,FTR,10.2,9802011,11.2050275
Fracture Ray,PRS,9.2,10001263,11.2
Flyburg and Endroll,FTR,9.2,10000854,11.2
PRAGMATISM,FTR,10.1,9825624,11.16406
World Vanquisher,FTR,10.6,9656848,11.122826666666667
Chronostasis,FTR,9.1,10000860,11.1
trappola bewitching,FTR,10,9833223,11.0830575
The Message,FTR,9.7,9945442,11.063604999999999
Auxesia,FTR,9.4,9965891,11.058910000000001
Halcyon,FTR,10.7,9597581,11.025269999999999
Garakuta Doll Play,FTR,10.3,9711001,11.003336666666668
Ether Strike,FTR,10.2,9740271,11.000903333333333
Kanagawa Cyber Culvert,FTR,9,10001055,11
Alexandrite,FTR,9.9,9837392,10.99348
Quon,FTR,9.7,9915112,10.987779999999999
Dreadnought,FTR,9.7,9900853,10.9521325
OMAKENO Stroke,FTR,9.6,9937462,10.943655
Valhalla:0,FTR,10.5,9630108,10.933693333333334
Sulfur,FTR,9.8,9847792,10.91948
Anökumene,FTR,9.2,9971381,10.91381
Party Vinyl,FTR,9.8,9819427,10.848567500000001
Specta,FTR,9.5,9932500,10.83125
Ignotus,FTR,9.7,9845961,10.814902499999999
Empire of Winter,FTR,9,9979088,10.79088
Vicious Heroism,FTR,10,9731372,10.77124
DataErr0r,FTR,9.5,9890885,10.7272125
SOUNDWiTCH,FTR,9.9,9745832,10.71944
Syro,FTR,9.5,9874937,10.6873425
Heavenly caress,FTR,9.6,9834799,10.6869975
Nhelv,FTR,9.8,9761783,10.67261
Metallic Punisher,FTR,10.3,9601150,10.637166666666667
A Wandering Melody of Love,FTR,9.6,9807442,10.618605
Yosakura Fubuki,FTR,9.6,9807389,10.6184725
Corruption,FTR,9.7,9773028,10.610093333333333
Halcyon,PRS,8.5,10000891,10.5
Memory Forest,FTR,9.8,9709414,10.498046666666667
Strongholds,FTR,9.1,9946608,10.46652
Grievous Lady,PRS,9.1,9938261,10.4456525
Essence of Twilight,FTR,9,9930482,10.326205
Snow White,FTR,8.6,9970215,10.30215
Phantasia,FTR,9.2,9827483,10.2687075
Antithese,FTR,8.8,9949513,10.173782500000002
Oracle,FTR,9.3,9761928,10.173093333333334
Evoltex (poppi'n mix),FTR,8.9,9839364,9.99841
REconstruction,FTR,8.7,9897675,9.9441875
DX Choseinou Full Metal Shojo,FTR,9.7,9567435,9.924783333333332
memoryfactory.lzh,FTR,8.8,9829431,9.873577500000001
Black Territory,FTR,9.5,9595131,9.817103333333334
next to you,FTR,8.7,9842895,9.8072375
Lumia,FTR,8.5,9922831,9.8070775
Shades of Light in a Transcendent Realm,FTR,8.4,9944772,9.76193
Harutopia ~Utopia of Spring~,FTR,8.6,9864307,9.7607675
Babaroque,FTR,8.7,9815035,9.7375875
Particle Arts,FTR,8.8,9746723,9.62241
Chelsea,FTR,8.6,9800530,9.601325
Tie me down gently,FTR,8.4,9869399,9.5734975
Maze No.9,FTR,8.9,9658730,9.4291
Silent Rush,FTR,8.4,9798846,9.396153333333334
cry of viyella,FTR,8.7,9659258,9.23086
Journey,FTR,8.6,9654757,9.115856666666666
MERLIN,FTR,8.5,9656438,9.02146
Reinvent,FTR,8.6,9625026,9.016753333333334
Ringed Genesis,PRS,8.5,9651879,9.006263333333333
Flashback,FTR,8.5,9539215,8.630716666666666
