Song,Difficulty,Constant,Score,Rating
World Vanquisher,FTR,10.6,9891056,11.827639999999999
Avant Raze,FTR,9.8,10001088,11.8
Sheriruth,FTR,10.6,9848916,11.72229
Dreamin' Attraction!!,FTR,9.8,9992189,11.72189
Halcyon,FTR,10.7,9797305,11.691016666666666
Valhalla:0,FTR,10.5,9864645,11.6616125
Tiferet,FTR,10.5,9848972,11.62243
cyanine,FTR,10.5,9847252,11.61813
Grievous Lady,FTR,11.2,9621854,11.606179999999998
αterlβus,FTR,10.5,9830959,11.5773975
γuarδina,FTR,10.5,9817923,11.5448075
Ringed Genesis,FTR,10.7,9747884,11.52628
GLORY：ROAD,FTR,10.5,9805183,11.5129575
Red and Blue,FTR,9.7,9977133,11.47133
Scarlet Lance,FTR,10.3,9841666,11.404165
Fracture Ray,FTR,11.1,9590530,11.401766666666667
Ikazuchi,FTR,10.4,9800663,11.4016575
Iconoclast,FTR,9.4,10000749,11.4
Garakuta Doll Play,FTR,10.3,9826958,11.367395
Heavenly caress,FTR,9.6,9975845,11.35845
Metallic Punisher,FTR,10.3,9823344,11.358360000000001
The Message,FTR,9.7,9965616,11.35616
Quon,FTR,9.7,9960511,11.305109999999999
conflict,FTR,10.2,9839904,11.29976
ouroboros -twin stroke of the end-,FTR,10.6,9705268,11.284226666666667
Modelista,FTR,10,9906786,11.266965
Vindication,FTR,9.6,9963783,11.237829999999999
Ether Strike,FTR,10.2,9804416,11.211039999999999
Syro,FTR,9.5,9970626,11.20626
Flyburg and Endroll,FTR,9.2,10000893,11.2
PRAGMATISM,FTR,10.1,9836269,11.1906725
Heavensdoor,FTR,10,9864710,11.161775
Cyaegha,FTR,10.8,9606347,11.154490000000001
Impure Bird,FTR,9.5,9963465,11.13465
trappola bewitching,FTR,10,9852405,11.1310125
Axium Crisis,FTR,10.6,9658095,11.126983333333333
Party Vinyl,FTR,9.8,9925673,11.1141825
Illegal Paradise,FTR,9.8,9925502,11.113755000000001
Alexandrite,FTR,9.9,9866242,11.065605
Singularity,FTR,10.4,9697733,11.05911
Auxesia,FTR,9.4,9965863,11.05863
AI[UE]OON,FTR,9.4,9965486,11.05486
VECTOЯ,FTR,9.5,9955003,11.05003
Corruption,FTR,9.7,9935455,11.0386375
Cybernecia Catharsis,FTR,9.8,9895100,11.03775
Ignotus,FTR,9.7,9931677,11.029192499999999
Sulfur,FTR,9.8,9886044,11.01511
Memory Forest,FTR,9.8,9883276,11.00819
Monochrome Princess,FTR,9.7,9913542,10.983855
Fallensquare,FTR,9.8,9872575,10.9814375
Mirzam,FTR,9.9,9828433,10.9710825
Empire of Winter,FTR,9,9995433,10.95433
Dreadnought,FTR,9.7,9900844,10.95211
A Wandering Melody of Love,FTR,9.6,9936349,10.9408725
SOUNDWiTCH,FTR,9.9,9803178,10.907945
Nhelv,FTR,9.8,9843016,10.907540000000001
Grievous Lady,PRS,9.1,9980164,10.90164
Maze No.9,FTR,8.9,10000745,10.9
Filament,FTR,9.7,9879817,10.899542499999999
Yosakura Fubuki,FTR,9.6,9909473,10.8736825
carmine:scythe,FTR,9.6,9906494,10.866235
Lost Civilization,FTR,9.5,9945086,10.862715
