song,artist,easy,normal,hard,extra,bpm,collection
Dream,Rabpit,1,4,8,-,151,Deemo's Collection Vol. 1A
Reflection (Mirror Night),V.K,1,4,8,-,85,Deemo's Collection Vol. 1A
Jumpy Star,"Yuk-cheung Chun, Jeff Li, Justine Lu",3,3,6,-,104,Deemo's Collection Vol. 1A
Wings of piano,V.K,1,6,7,-,84-85,Deemo's Collection Vol. 1A
Nine point eight,Mili,1,5,7,-,164,Deemo's Collection Vol. 1A
Light pollution,Yuk-cheung Chun feat. Europa Hang,1,3,8,-,122,Deemo's Collection Vol. 1A
Undo,Yuk-cheung Chun feat. Misi Ke,2,3,7,-,141,Deemo's Collection Vol. 1A
Platinum,Sta,2,6,6,-,100,Deemo's Collection Vol. 1A
Utopiosphere,Mili,1,4,7,-,176,Deemo's Collection Vol. 1A
Reverse - Parallel Universe,V.K,1,5,8,-,120,Deemo's Collection Vol. 1A
I hate to tell you,Yuk-cheung Chun,2,6,8,-,120,Deemo's Collection Vol. 1A
Saika,Rabpit,2,4,6,8,128,Deemo's Collection Vol. 1A
YUBIKIRI-GENMAN,Mili,1,4,7,-,146,Deemo's Collection Vol. 1A
Evolution Era,V.K,3,6,8,-,90,Deemo's Collection Vol. 1B
Invite,Sun Chen feat. Bibi Chao,2,5,7,-,134,Deemo's Collection Vol. 1B
Run Go Run,Kaeru Underground (formerly DJ Trio),2,3,8,-,180,Deemo's Collection Vol. 1B
Yawning Lion,V.K,2,4,9,-,65,Deemo's Collection Vol. 1B
Pulses,Sta feat. A,1,6,8,-,92,Deemo's Collection Vol. 1B
Electron,Yuk-cheung Chun feat. Misi Ke,1,6,8,-,125,Deemo's Collection Vol. 1B
Untitled2,FabricFactory,3,6,8,-,111,Deemo's Collection Vol. 1B
Walking by the sea,Edmud Fu,2,5,8,-,93,Deemo's Collection Vol. 1B
Beyond The Stratus,Ice,2,4,7,-,130,Deemo's Collection Vol. 1B
Sairai,Shinichi Kobayashi,3,5,7,8,95,Deemo's Collection Vol. 1B
Entrance,Ice,2,8,10,L,180,Deemo's Collection Vol. 1B
Magnolia,M2U feat. Guriri,4,7,10,M,160,Deemo's Collection Vol. 1B
Angelic Sphere,3R2,4,5,7,-,143,Deemo's Collection Vol. 1B
Leviathan,NeLiME,3,7,9,10,88-185,Deemo's Collection Vol. 1B
Suspenseful Third Day,Kaeru Underground,2,5,7,-,100,Deemo's Collection Vol. 2
Living In The One,Edmud Fu,1,4,7,-,139,Deemo's Collection Vol. 2
Legacy,switchworks,1,4,6,-,113,Deemo's Collection Vol. 2
Sunset,Alex Vourtsanis,2,6,8,-,90,Deemo's Collection Vol. 2
Sakura iro no yume,Baba Band,2,4,6,-,98,Deemo's Collection Vol. 2
La Promesse,Cranky,5,5,8,-,164,Deemo's Collection Vol. 2
ANiMA,xi,5,9,11,xi,183.4,Deemo's Collection Vol. 2
The Beautiful Moonlight,Mai Aoyagi,2,4,6,-,135,Deemo's Collection Vol. 2
