song,artist,easy,hard,special,bpm
25 Color Twilight*,City Connection,4,8,14,178
"52Hz, I love you.","52Hz, I love you",2,7,11,124
AFTER PARTY,dawn-system feat. OHkun,3,9,14,195
Akari,純白P,2,7,12,140
Alice in Secret Circus,Kaname Shigeyoshi,5,11,15,70
Alice Music,Alice Schach and the Magic Orchestra,4,15,15,130
Ancient Rose,Suu,3,7,12,160
And More or Less,Sakuzyo,4,10,14,95
Angel Wing,uma,7,13,16,240
Annihilator,Lunatic Sounds VS Ixia,6,14,16,210
Aquamarine,Cashew,5,10,14,130
Aquarius,CC'n'A,1,9,13,180
ARCANA,Spar,4,11,14,188
Ascension to Heaven*,xi,6,11,16,200
Asian Dance,Tatsh,6,10,14,152
Atropos,LhoU,6,11,14,111
Bataille Industrielle,Miroir Noir,5,11,15,160
Beat it Beep,Gowrock,4,13,15,139
Be Smile,Shi Kuang Lee & Pico,3,7,13,175
Beyond the Horizon,3R2,5,12,16,175
Beyond This World,Iris,5,15,15,134
"Big world, small world.","52Hz, I love you",3,10,13,129
BLANKET,Mai Aoyagi,2,7,11,134
Bloody Purity,eyemedia,4,11,15,155
Blooming Spring,ゴレマハガト楽団,4,8,13,123
Blue Heat Haze*,来兎,2,8,12,140
Brightness,yozaquar feat. むた,3,10,14,180
Butterfly,Pico & Shi Kuang Lee,3,8,13,160
Capella,Plutian vs. Presti,5,11,13,146
Carnation,himmel,1,7,9,118
CERBERUS,Gowrock,4,10,14,175
Chandelier Garden,Ayatsugu_Otowa,3,8,13,136
Checkmate,yoyo幫尼,3,11,15,146
Chicken-Hearted,VelecTi,3,9,11,178
Christmas of Year,提供,4,8,14,185
Chrome VOX,t+pazolite,7,14,16,205
Chromium,litmus*,4,9,15,180
citanLu,Ice,7,11,15,168
Colorful Voice,Night Keepers,1,7,10,120
COMANTA LEBU,上村叶恵,5,8,13,120
Cross✝Revolution,HyuN feat. LyuU,6,12,16,185
Crystal Cradle,X Sword Braves,6,11,14,191
Cupid needs love.,"52Hz, I love you",1,5,10,122
Cyberdynez,THE3,5,9,14,150
Czarte,Titancube,4,13,15,175
DainsleiF,Haguna,3,11,15,170
Dasein,KIVΛ,1,11,14,160
Delusion (Yume-Maboroshi),NIKITA,6,13,16,180
Devilic Sphere,3R2,6,15,16,160
DJ Mashiro is dead or alive,Ice,8,15,16,190
Don't stop the moment,Tattsu,3,7,13,140
Drop,篤志,8,13,15,140
Durandal -Magical Freezing-,ねこみりん,4,12,15,150
dynamo,Hidra-Xjeil,3,9,15,160
Eastern Horoscope,Thinktec,4,10,14,125
Eclipse,SIhanatsuka,2,8,14,101
Egosurfaddict,ねこみりん feat.ゆみ,3,9,15,180
ELECTRiCiTY,NIKITA,5,11,14,175
Elsa de la bibliothèque,橘花音 かなえゆめ composed by nmk,7,14,9,160
Emotion In Motion,hero_C,1,6,12,145
Energy,yourmythos,5,9,13,147
Event Horizon,Nizikawa,7,12,16,205
Extreme Attack,HAGANE,4,11,14,158
Fading Star,ginkiha,5,11,15,140
Farewell Waltz,Stone,3,10,12,200
Festival Lights,Mr. Fantastic,5,11,14,129
Fighting,Claymore,4,8,14,
Fis-sure,Triodust,3,8,13,78
Flame Dark,KIVΛ,2,8,11,138
